child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
puu	NOUN	Gen	Plur	langetamine	NOUN	Com	Sing	puude langetamisega	Seoses ___puude___ massilise ___langetamisega___ nimetatakse Tihemetsa Hõremetsaks .	3259	106
elu	NOUN	Gen	Sing	lõpp	NOUN	Ter	Sing	elu lõpuni	Esimene armastus on nagu raske kuritegu , mis jääb ___elu___ ___lõpuni___ meelde .	3480	372
korter	NOUN	Gen	Sing	tolmu_imeja	NOUN	Com	Sing	korteri tolmuimejaga	Igal hommikul tõmbab enne tööleminekut kogu ___korteri___ ___tolmuimejaga___ üle .	3578	68
funktsioon	NOUN	Gen	Plur	jaotamine	NOUN	Com	Sing	funktsioonide jaotamisega	Juhi rollil perekonnas pole pistmist ___funktsioonide___ ___jaotamisega___ .	3587	6
kunst_tööstus_kool	NOUN	Gen	Sing	õpilane	NOUN	Ess	Sing	kunsttööstuskooli õpilasena	Hakkasin ___kunsttööstuskooli___ ___õpilasena___ teatris dekoratsioone maalima .	4225	2
sõrm	NOUN	Gen	Sing	lõikamine	NOUN	Com	Sing	sõrme lõikamisega	Negatiivsete mõtete mõtlemine võrdub endale nüri noaga ___sõrme___ ___lõikamisega___ .	4329	22
välis_maa	NOUN	Gen	Sing	noor	NOUN	Com	Plur	välismaa noortega	Kontaktid ___välismaa___ ___noortega___ avardavad silmaringi .	4536	52
vajadus	NOUN	Gen	Plur	rahuldamine	NOUN	Abe	Sing	vajaduste rahuldamiseta	Ilma loomulike ___vajaduste___ ___rahuldamiseta___ ei ole võimalik eksisteerida .	4643	53
kaaslane	NOUN	Gen	Plur	abi	NOUN	Abe	Sing	Kaaslaste abita	___Kaaslaste___ ___abita___ on raske tippu jõuda .	4689	30
struktuuri_ühik	NOUN	Gen	Sing	peal_kiri	NOUN	Com	Sing	struktuuriühiku pealkirjaga	Kui lehekülg algab ___struktuuriühiku___ ( sissejuhatuse , peatüki vms ) ___pealkirjaga___ , siis jäetakse ülaserva 6 cm vaba ruumi .	4871	1
üldistus	NOUN	Gen	Sing	mõtlemine	NOUN	Com	Sing	üldistus- mõtlemisega	On analüütiline , ratsionaalne , teadmishimuline , kriitiline , hea ___üldistus-___ ja kujutlusvõimega , sõltumatu ja originaalse ___mõtlemisega___ .	4919	1
ühiskond	NOUN	Gen	Sing	tava	NOUN	Com	Plur	ühiskonna tavadega	Tema tegevuse eesmärgid ja taotlused on seotud ___ühiskonna___ ___tavadega___ .	4956	35
telefon	NOUN	Gen	Sing	abi	NOUN	Com	Sing	telefoni abiga	Miks oli ___telefoni___ ___abiga___ Miisut halb joonistada ?	6838	174
kool	NOUN	Gen	Sing	jalg_ratas	NOUN	Com	Sing	kooli jalgrattaga	Karl sõidab ___kooli___ ___jalgrattaga___ .	8658	1013
keel	NOUN	Gen	Sing	õpetaja	NOUN	Ess	Sing	keele õpetajana	Peale selle on Leelo Tungal töötanud eesti ___keele___ ___õpetajana___ .	8766	609
telefon	NOUN	Gen	Sing	abi	NOUN	Com	Sing	telefoni abiga	Koolis oleme ___telefoni___ ___abiga___ orienteerumismängu mänginud .	9341	174
kool	NOUN	Gen	Sing	buss	NOUN	Com	Sing	kooli bussiga	Hommikul ma lähen ___kooli___ ___bussiga___ .	10134	1013
kool	NOUN	Gen	Sing	buss	NOUN	Com	Sing	kooli bussiga	Ma lähen ___kooli___ ___bussiga___ ja siis lähen riidehoidu .	10135	1013
tund	NOUN	Gen	Sing	lõpp	NOUN	Ter	Sing	tunni lõpuni	Kui ___tunni___ ___lõpuni___ oli jäänud veel kümme minutit , ütles õpetaja Laur , et ta peab meiega rääkima .	12439	555
tund	NOUN	Gen	Sing	algus	NOUN	Ter	Sing	tunni alguseni	Kui ma kella vaatasin , oli esimese ___tunni___ ___alguseni___ ainult neli minutit aega !	12723	555
kool	NOUN	Gen	Sing	märk	NOUN	Com	Sing	kooli märgiga	Aga enne , kui saame uhkusega selga panna oma ___kooli___ ___märgiga___ rõivad , on vaja veel palju tööd ära teha .	13815	1013
rühma_töö	NOUN	Gen	Sing	mõte	NOUN	Com	Plur	rühmatöö mõtetega	Millise ___rühmatöö___ ___mõtetega___ sa kõige rohkem nõus oled ?	13845	11
kool	NOUN	Gen	Sing	logo	NOUN	Com	Sing	kooli logoga	Soovitus nr 2 : kui võimalik , siis võiks tellida koos koolivormiga ka ___kooli___ ___logoga___ pinali ja päeviku .	13910	1013
õpilas_oma_valitsus	NOUN	Gen	Sing	esindaja	NOUN	Ess	Sing	õpilasomavalitsuse esindajana	Täna räägin ma aga hoopis ___õpilasomavalitsuse___ ___esindajana___ .	14062	8
kaus	NOUN	Gen	Sing	jõulu_pudu	NOUN	Com	Sing	kausi jõulupudruga	Traditsioonide kohaselt jätavad lapsed Tomtele kuuse alla ___kausi___ ___jõulupudruga___ .	15322	3
aasta	NOUN	Gen	Sing	traditsioon	NOUN	Com	Plur	aasta traditsioonidega	Võrdle neid traditsioone enda pere jõulu- või uue ___aasta___ ___traditsioonidega___ !	15365	906
kool	NOUN	Gen	Sing	buss	NOUN	Com	Sing	kooli bussiga	Ma lähen ___kooli___ ___bussiga___ .	15805	1013
kool	NOUN	Gen	Sing	buss	NOUN	Com	Sing	kooli bussiga	Ma tulen ___kooli___ ___bussiga___ .	15812	1013
kool	NOUN	Gen	Sing	kooli_buss	NOUN	Com	Sing	kooli koolibussiga	Kas sa lähed ___kooli___ ___koolibussiga___ ?	15815	1013
tekst	NOUN	Gen	Sing	mõte	NOUN	Com	Sing	teksti mõttega	Kõigepealt loe ___teksti___ ___mõttega___ , proovi süveneda .	17200	155
uudis_raamat	NOUN	Gen	Plur	nime_kiri	NOUN	Com	Sing	uudisraamatute nimekirjaga	Jah , ma käisin eile raamatukogus ja tutvusin ___uudisraamatute___ ___nimekirjaga___ .	17241	1
töö	NOUN	Gen	Sing	kvaliteet	NOUN	Com	Sing	töö kvaliteediga	Sa ise oled oma ___töö___ ___kvaliteediga___ väga rahul .	17801	552
tegelane	NOUN	Gen	Sing	nägu	NOUN	Com	Sing	tegelase näoga	Nende jaoks mõtlesid teadlased välja populaarse multiﬁlmi ___tegelase___ Pikatchu ___näoga___ sammumõõtja .	18057	33
odraiva	NOUN	Gen	Sing	kuld_sõrmus	NOUN	Com	Sing	odraiva kuldsõrmusega	Ta ütles , et tema lapsepõlves ravisid kõik inimesed ___odraiva___ ___kuldsõrmusega___ .	18154	3
õpilane	NOUN	Gen	Plur	soov	NOUN	Com	Plur	õpilaste soovidega	Koolisöökla ei arvesta ___õpilaste___ ___soovidega___ .	18287	429
isa	NOUN	Gen	Sing	auto	NOUN	Com	Sing	isa autoga	Või viib sind ___isa___ ___autoga___ kooli ?	18323	469
rühm_võimle_miskav	NOUN	Gen	Sing	pall	NOUN	Com	Plur	rühmvõimlemiskava pallidega	Me esineme seal , näitame trennikaaslastega ___rühmvõimlemiskava___ ___pallidega___ .	18355	1
veri_vorst	NOUN	Gen	Sing	pohla_moos	NOUN	Com	Sing	verivorsti pohlamoosiga	Kas sa oled söönud ___verivorsti___ ___pohlamoosiga___ ?	19281	9
kama	NOUN	Gen	Sing	keefir	NOUN	Com	Sing	kama keefiriga	Kas sa oled proovinud ___kama___ ___keefiriga___ ?	19283	1
õpetaja	NOUN	Gen	Sing	ette_panek	NOUN	Com	Sing	õpetaja ettepanekuga	Kas lapsed nõustusid ___õpetaja___ ___ettepanekuga___ ?	19523	475
järv	NOUN	Gen	Sing	vesi	NOUN	Com	Sing	järve veega	Vastus peab olema eitav , sest muidu Ülemiste vanake uputab ___järve___ ___veega___ Tallinna ära .	19760	87
tänav	NOUN	Gen	Sing	lõpp	NOUN	Ter	Sing	tänava lõpuni	Mine mööda Raua tänavat ___tänava___ ___lõpuni___ ja sealt otse edasi üle tee .	19837	145
etendus	NOUN	Gen	Sing	algus	NOUN	Ter	Sing	etenduse alguseni	Kõigepealt öeldakse , kui palju aega jääb ___etenduse___ ___alguseni___ .	20387	90
etendus	NOUN	Gen	Sing	algus	NOUN	Ter	Sing	etenduse alguseni	Vabandust , kas Malviina tohiks öelda mikrofoni , et kui palju on ___etenduse___ ___alguseni___ aega ?	20389	90
etendus	NOUN	Gen	Sing	algus	NOUN	Ter	Sing	Etenduse alguseni	___Etenduse___ ___alguseni___ on jäänud kolmteist ja pool minutit .	20402	90
lepp	NOUN	Gen	Sing	ree	NOUN	Com	Sing	lepase reega	Neil läks sõit Tartust Tallinnasse nagu ___lepase___ ___reega___ .	20981	3
martsi_pani	NOUN	Gen	Sing	ravim	NOUN	Ess	Sing	martsipani ravimina	Keskajal müüdi ___martsipani___ ___ravimina___ armuvalu vastu .	21001	4
lamba_liha	NOUN	Gen	Sing	kartul	NOUN	Com	Plur	Lambaliha kartulitega	___Lambaliha___ ___kartulitega___ .	21155	1
õpetaja	NOUN	Gen	Sing	laps	NOUN	Com	Plur	õpetaja lastega	Mis mängu hakkas ___õpetaja___ ___lastega___ mängima ?	21378	475
aasta	NOUN	Gen	Sing	sport_võimlemine	NOUN	Com	Sing	aasta sportvõimlemisega	Algklassides tegelesin mõne ___aasta___ ___sportvõimlemisega___ , aga ega see mind eriti huvitanud .	21636	906
poiss	NOUN	Gen	Plur	kaotus	NOUN	Com	Sing	poiste kaotusega	Kaheksa partiid lõppesid kahjuks meie ___poiste___ ___kaotusega___ , kahes partiis tehti viik .	21686	262
kabe_turniir	NOUN	Gen	Sing	kaotus	NOUN	Com	Sing	kabeturniiri kaotusega	Ta alustas ___kabeturniiri___ ___kaotusega___ .	21857	1
kreemja	NOUN	Gen	Plur	puhatus_vahend	NOUN	Com	Plur	kreemjate puhatusvahenditega	Vanni ja valamuid küürime ___kreemjate___ ___puhatusvahenditega___ , spetsiaalsete pastade ja geelidega .	21939	1
zoo_kauplus	NOUN	Gen	Sing	müüja	NOUN	Com	Sing	zookaupluse müüjaga	Koos ___zookaupluse___ ___müüjaga___ leiate kindlasti õige ravimi .	22005	2
talu	NOUN	Gen	Sing	ostmine	NOUN	Com	Sing	Talu ostmisega	___Talu___ ___ostmisega___ tekkis Jakobsonil võimalus oma ideid ellu rakendada .	22452	37
kool	NOUN	Gen	Sing	auto	NOUN	Com	Sing	kooli autoga	Kas käite koolis jalgsi , jalgrattaga , ühiskondliku transpordiga või toovad vanemad teid ___kooli___ ___autoga___ ?	22651	1013
peatse	NOUN	Gen	Sing	nägemine	NOUN	Ter	Sing	Peatse nägemiseni	___Peatse___ ___nägemiseni___ !	22774	2
peatse	NOUN	Gen	Sing	kohtumine	NOUN	Ter	Sing	Peatse kohtumiseni	___Peatse___ ___kohtumiseni___ !	22775	2
pea_linn	NOUN	Gen	Sing	era_maja	NOUN	Com	Plur	pealinna eramajadega	Merivälja paikneb Tallinna lahe ääres ja on üks ___pealinna___ ilusamaid ___eramajadega___ asustatud linnaosi .	22918	37
linn	NOUN	Gen	Sing	huvi_väärsus	NOUN	Com	Plur	linna huviväärsustega	Oleks kena , kui saaksime ühe nädalavahetuse Tallinnas veeta ja ___linna___ ___huviväärsustega___ tutvuda .	23164	269
moeka	NOUN	Gen	Sing	lõige	NOUN	Com	Sing	Moeka lõikega	___Moeka___ ___lõikega___ ja masinal kootud , kuid Halliste mustreid meeles pidava džempri värvi võib igaüks ise valida - kes soovib , kannab punast ; kellele meeldib sinine , see valib endale sinise kampsuni ; kes armastab kirjusid rõivaid , see tuleb kooli kirjus džempris .	23856	1
haige	NOUN	Gen	Plur	silm	NOUN	Com	Plur	haigete silmadega	Sellelt näeks vanaisa oma ___haigete___ ___silmadega___ õiget aega vaadata .	23869	28
tekst	NOUN	Gen	Sing	autor	NOUN	Com	Sing	Teksti autoriga	___Teksti___ ___autoriga___ juhtus üritusel ebameeldivus .	23994	155
klass	NOUN	Gen	Sing	tüdruk	NOUN	Com	Sing	klassi tüdrukuga	Kooli tõi mind pereema Marjana ja kuna me tulime kooli natuke varem , siis jõudsin tutvuda kahe oma ___klassi___ ___tüdrukuga___ , kes näitasid mulle kooli .	24101	502
vahetus_kool	NOUN	Gen	Sing	õpilane	NOUN	Com	Sing	vahetuskooli õpilasega	Vahetusopilasel on õigus osaleda koolitöös võrdsetel tingimustel iga teise ___vahetuskooli___ ___õpilasega___ .	24189	6
kiir_toit	NOUN	Gen	Sing	söömine	NOUN	Com	Sing	kiirtoidu söömisega	Üks neist oli oma vaimset tervist rikkunud kooliskäimisega , teine ei olnud oma vaimset tervist rikkunud ja kolmas oli tervisele kahju teinud ___kiirtoidu___ ___söömisega___ .	24490	14
gümnaasium	NOUN	Gen	Sing	direktor	NOUN	Com	Sing	gümnaasiumi direktoriga	Johannes räägib Rootsi ___gümnaasiumi___ ___direktoriga___ .	24553	37
sisu	NOUN	Gen	Sing	kirjeldamine	NOUN	Com	Sing	sisu kirjeldamisega	Ära piirdu ainult ___sisu___ ___kirjeldamisega___ .	24773	30
tekst	NOUN	Gen	Sing	stiil	NOUN	Com	Sing	teksti stiiliga	Samas peab nende kasutamisega , eriti võõrkeeles , olema mõnevõrra ettevaatlik ja võimaluse korral kontrollima , kas väljend ikka annab edasi soovitud mõtet ja sobib ___teksti___ ___stiiliga___ .	25262	155
lugeja	NOUN	Gen	Sing	silm	NOUN	Com	Plur	lugeja silmadega	Püüa vaadata teksti võõra ___lugeja___ ___silmadega___ .	25565	35
sõna	NOUN	Gen	Plur	kasutamine	NOUN	Com	Sing	sõnade kasutamisega	Ei tohi unustada , et sõnadel on väga tugev mõju ja seetõttu peab negatiivsete ___sõnade___ ___kasutamisega___ olema eriti ettevaatlik : väga kerge on teisi solvata ja ka endast halba muljet jätta .	25828	244
rühm	NOUN	Gen	Sing	tervik	NOUN	Ess	Sing	rühma tervikuna	Hinnake iga osalist eraldi ja kogu ___rühma___ ___tervikuna___ .	25879	46
esitaja	NOUN	Gen	Sing	nimi	NOUN	Com	Sing	esitaja nimega	Konspekteerige kõik esitatud küsimused koos ___esitaja___ ___nimega___ .	25885	4
hunt	NOUN	Gen	Plur	pildistamine	NOUN	Com	Sing	huntide pildistamisega	Seal korraldatakse hundiretki koos jälgedel matkamise , hundi ulgumise kuulamise ja ___huntide___ ___pildistamisega___ .	26135	44
looma_vaatlus	NOUN	Gen	Plur	korraldamine	NOUN	Com	Sing	loomavaatluste korraldamisega	Fotoonni Virumaa rabas valmistas ette Bert Rähni , kelle seiklus- ja loodusturismiga tegelev osaühing 360 KRAADI alustas ___loomavaatluste___ ___korraldamisega___ möödunud aastal .	26139	1
veebruar	NOUN	Gen	Sing	lõpp	NOUN	Com	Sing	Veebruari lõpuga	___Veebruari___ ___lõpuga___ lõpeb hooaeg ära .	26175	39
lugu	NOUN	Gen	Sing	jutustamine	NOUN	Com	Sing	loo jutustamisega	Alustada tuleks lugema kutsuvalt , näiteks efektse küsimusega , lühikese värvika ___loo___ ___jutustamisega___ või mingi pildi maalimisega lugeja silme ette .	26201	98
saade	NOUN	Gen	Plur	stiil	NOUN	Com	Sing	saate stiiliga	Kanna riideid , milles tunned end hästi ja mis sobivad ___saate___ ___stiiliga___ .	26225	55
suhtlemis_valm	NOUN	Gen	Sing	inimene	NOUN	Ess	Sing	suhtlemisvalmi inimesena	Ära põe , lase ennast paista ___suhtlemisvalmi___ ___inimesena___ .	26400	1
pidu	NOUN	Gen	Plur	ette_valmistamine	NOUN	Com	Sing	Pidude ettevalmistamisega	___Pidude___ ___ettevalmistamisega___ oli seotud kogu kool .	26482	46
üli_kool	NOUN	Gen	Plur	raamatu_kogu	NOUN	Com	Plur	ülikoolide raamatukogudega	Arvutivõrgu kaudu võib austraallane või eestlane vestelda suurte Ameerika ___ülikoolide___ ___raamatukogudega___ ja töötada võib inimene oma kodus , kui vaid tema arvuti on modemi abil ühenduses kesklinnas asuva firma arvutiga .	26680	98
firma	NOUN	Gen	Sing	arvuti	NOUN	Com	Sing	firma arvutiga	Arvutivõrgu kaudu võib austraallane või eestlane vestelda suurte Ameerika ülikoolide raamatukogudega ja töötada võib inimene oma kodus , kui vaid tema arvuti on modemi abil ühenduses kesklinnas asuva ___firma___ ___arvutiga___ .	26680	71
klahv	NOUN	Gen	Plur	vajutamine	NOUN	Com	Sing	klahvide vajutamisega	Ma mängisin Ameerikas kompuutri taga malet , tellisin ___klahvide___ ___vajutamisega___ ekraanile mis tahes mind huvitavat teavet ning mis salata , jäin mõtlikuks meie tehnilisest mahajäämusest just selles vallas - neidsamu individuaalkompuutreid , mida meie aastal 1990 plaanisime valmistada 1,2 miljonit , müüdi USA-s aastail 1982 - 1985 ainuüksi eraisikuile 16 miljonit .	27129	10
maja	NOUN	Gen	Sing	suur_puhastus	NOUN	Com	Sing	maja suurpuhastusega	Jõulude ettevalmistus algas ___maja___ ___suurpuhastusega___ juba nädal või poolteist varem .	27234	197
tõde	NOUN	Gen	Sing	mõiste	NOUN	Com	Sing	tõe mõistega	Minul käib ilu kokku ___tõe___ ___mõistega___ .	27492	8
aeg	NOUN	Gen	Sing	veetmine	NOUN	Com	Sing	aja veetmisega	Olgu selle vaba ___aja___ ___veetmisega___ kuidas on , aga minu meelest võiksid siinsed noored rohkem üksteisel külas käia .	27564	919
linn	NOUN	Gen	Sing	lille_kimp	NOUN	Com	Sing	linna lillekimbuga	Mulle tundub imelik kõndida läbi ___linna___ ___lillekimbuga___ .	27779	269
enese_hävitamine	NOUN	Gen	Sing	võimalus	NOUN	Ter	Sing	enesehävitamise võimaluseni	Mõistuse ühekülgne areng , ebaloomulik , eetikata areng on toonud inimese täieliku ___enesehävitamise___ ___võimaluseni___ , mõttetu katastroofini .	27815	1
kuri_tegevus	NOUN	Gen	Sing	profülaktika	NOUN	Ess	Sing	kuritegevuse profülaktikana	Lapsepõlves kuuldud jutud võivad toimida ___kuritegevuse___ ___profülaktikana___ ( nii imelik , kui see mõte ka ei tundu ) - aitavad need ju maandada sisepingeid lapsele sobivas vormis .	28053	4
aja_lugu	NOUN	Gen	Sing	sündmus	NOUN	Ess	Sing	ajaloo sündmusena	Nende elus kordub silmapilk , mis tundub mulle ___ajaloo___ ühe kõige liigutavama ___sündmusena___ .	28097	46
elu	NOUN	Gen	Sing	lõpp	NOUN	Ter	Sing	elu lõpuni	Kui aga kontakt on saavutatud , siis on nad truud ___elu___ ___lõpuni___ .	28223	372
kesk_kool	NOUN	Gen	Sing	lõpetamine	NOUN	Ter	Sing	keskkooli lõpetamiseni	Et ___keskkooli___ ___lõpetamiseni___ on jäänud nii vähe aega ja läbi on saamas üks olulisemaid etappe minu elus , liiguvad mõtted sageli iseenesest koolile ning seal läbielatule .	28379	24
kooli_uks	NOUN	Gen	Sing	sulgemine	NOUN	Com	Sing	kooliukse sulgemisega	Kui arvad , et me ei tea , et Sinu tööpäev ei lõpe ___kooliukse___ ___sulgemisega___ , siis eksid .	28389	1
üli_kool	NOUN	Gen	Sing	asi	NOUN	Com	Plur	ülikooli asjadega	Rektori ametkonda , mis tegeleb kogu ___ülikooli___ ___asjadega___ , tuntakse rektoraadi nime all .	28591	98
tudengi_seisus	NOUN	Gen	Sing	tunnus	NOUN	Ess	Sing	tudengiseisuse tunnusena	Pooleldi on unarusse vajunud komme märkida ___tudengiseisuse___ ___tunnusena___ oma nime järele noorematel kursustel nii magusalt kõlavad lühendid stud .	28611	1
astuja	NOUN	Gen	Plur	vend	NOUN	Com	Plur	astujate vendadega	Eelkõige tehti seda ülikooli ___astujate___ nooremate ___vendadega___ , eriti kui tuldi kaugemalt .	28671	2
üli_kool	NOUN	Gen	Sing	rektor	NOUN	Ess	Sing	ülikooli rektorina	Kõige kauem on Tartu ___ülikooli___ ___rektorina___ töötanud prof .	28674	98
restoran	NOUN	Gen	Sing	menüü	NOUN	Com	Sing	restorani menüüga	Tutvuge ___restorani___ ___menüüga___ .	28954	27
riik	NOUN	Gen	Sing	tagatis	NOUN	Com	Sing	riigi tagatisega	Kõigist õppimise rahastamise viisidest , mida pangad pakuvad , on ___riigi___ ___tagatisega___ õppelaen soodsaim .	29002	184
maa_ilm	NOUN	Gen	Sing	osa	NOUN	Ess	Sing	maailma osana	Euro kui maailmavaluuta kasutuselevõtmine toetab meie majanduse stabiilsust , lihtsustab kaubandussuhteid paljude riikidega ning teadvustab Eestit ___maailma___ ühe mõjukama majanduspiirkonna ___osana___ .	29074	223
majandus_piirkond	NOUN	Gen	Sing	osa	NOUN	Ess	Sing	majanduspiirkonna osana	Euro kui maailmavaluuta kasutuselevõtmine toetab meie majanduse stabiilsust , lihtsustab kaubandussuhteid paljude riikidega ning teadvustab Eestit maailma ühe mõjukama ___majanduspiirkonna___ ___osana___ .	29074	1
kasutus	NOUN	Gen	Sing	kasv	NOUN	Com	Sing	kasutuse kasvuga	Koos Interneti ___kasutuse___ ___kasvuga___ on aset leidnud väga kiire e-kaubanduse populaarsuse kasv .	29121	16
pood	NOUN	Gen	Sing	klient	NOUN	Ter	Plur	Poe klientideni	___Poe___ ___klientideni___ jõuab kõik , mida Eestimaal mahedalt kasvatatakse .	29138	97
aasta	NOUN	Gen	Sing	kuu	NOUN	Com	Sing	aasta kuuga	Möödunud aastal tabas politsei 11 753 joobes juhti , 2006. ___aasta___ nelja ___kuuga___ juba 3675 roolijoodikut .	29213	906
tuli	NOUN	Gen	Plur	põle_mapanemine	NOUN	Com	Sing	tulede põlemapanemisega	Süsteem suudab ___tulede___ ___põlemapanemisega___ imiteerida teie kohalolekut , mis aitab vargaid eemal hoida .	29254	36
Heli	NOUN	Gen	Sing	saamine	NOUN	Ter	Sing	Heli saamiseni	Kuni ___Heli___ aastaseks ___saamiseni___ olime palju õues .	29605	5
