child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
tegemine	NOUN	Gen	Sing	programm	NOUN	Par	Sing	tegemise programmi	Võib osta mõne lehekülgede ___tegemise___ ___programmi___ , näiteks Microsoft Frontpage’i , ja siis tuleb lihtsalt katsetada .	535	87
hulk	NOUN	Gen	Sing	sõda	NOUN	Par	Plur	hulga sõdu	Saja aasta sisse saame paigutada kaks verist maailmasõda ja veel terve ___hulga___ lokaalseid ___sõdu___ , kommunismi ja fašismi tõusu ja languse , siia mahub peaaegu kogu teadus- ja tehnikarevolutsioon , kogu modernistlik kunstimaailm , ka infoühiskonna sünd .	570	45
sajand	NOUN	Gen	Sing	algus	NOUN	Par	Sing	sajandi algust	Ajakirja Luup * toimetus valis enne uue ___sajandi___ ___algust___ välja XX . sajandi 25 kuulsamat eestlast , kelle tegevus on Eestit kõige rohkem mõjutanud .	572	71
sajand	NOUN	Gen	Sing	suur_kuju	NOUN	Par	Sing	sajandi suurkuju	Toimetuse nimekirja kõrval kasutati ka Eesti Entsüklopeediakirjastuse materjale , mille järgi valiti sada ___sajandi___ ___suurkuju___ .	581	71
sajand	NOUN	Gen	Sing	suur_kuju	NOUN	Par	Sing	sajandi suurkuju	Toimetuse nimekirja kõrval kasutati ka Eesti Entsüklopeediakirjastuse materjale , mille järgi valiti sada ___sajandi___ ___suurkuju___ .	585	71
nime_kiri	NOUN	Gen	Sing	pretendent	NOUN	Par	Plur	Nimekirja pretendente	___Nimekirja___ ___pretendente___ oli kokku 500.	597	39
inimene	NOUN	Gen	Sing	saatus	NOUN	Par	Sing	inimese saatust	Astroloogide arvates mõjutavad tähed ___inimese___ ___saatust___ .	653	1323
eestlane	NOUN	Gen	Sing	võidu_tahe	NOUN	Par	Sing	eestlase võidutahet	Kristina Smigun kehastab ___eestlase___ ___võidutahet___ ja eneseületust .	698	119
jalutus_käik	NOUN	Gen	Sing	tee	NOUN	Par	Sing	jalutuskäigu teed	Mis kell sa magama lähed , mis kell sa ärkad , mis kell sa treenid , venitad , sööd , saunas käid , lõõgastuva ___jalutuskäigu___ ___teed___ .	740	8
kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Kevadel luban endale ___kuu___ ___aega___ vaba inimese elu .	747	156
inimene	NOUN	Gen	Sing	elu	NOUN	Par	Sing	inimese elu	Kevadel luban endale kuu aega vaba ___inimese___ ___elu___ .	747	1323
kuu	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	Kuu aega	___Kuu___ ___aega___ , sest kauem ei suudaks .	748	156
paastu	NOUN	Gen	Sing	algus	NOUN	Par	Sing	paastu algust	Eestlaste vastlapäev on kevadiste liikuvate tähtpäevade seas esimene ning kuulutab katoliku kirikukalendris ___paastu___ ___algust___ .	778	2
poiss	NOUN	Gen	Sing	mõte	NOUN	Par	Plur	poisi mõtteid	Tüdrukud lasksid poistel värvitud mune valida , sest värvide järgi sai teada ___poisi___ ___mõtteid___ .	833	262
kamp	NOUN	Nom	Sing	mardi_jooksja	NOUN	Par	Plur	kamp mardijooksjaid	Mida suurem ___kamp___ ___mardijooksjaid___ , seda rohkem lapsi peremehele ja rikkalikku põllusaaki .	850	7
muna	NOUN	Par	Sing	kana	NOUN	Par	Sing	muna kana	Ega ___muna___ ___kana___ õpeta .	869	49
valik	NOUN	Nom	Sing	muusika_video	NOUN	Par	Plur	valik muusikavideoid	Siin on suur tantsupõrand , suurepärane aparatuur ja lai ___valik___ ___muusikavideoid___ .	925	56
klient	NOUN	Gen	Plur	vajadus	NOUN	Par	Plur	klientide vajadusi	Arhitekt Madis Eeki poolt ehitatud värvilistest klaasidest hoone on kahekorruseline ja spetsiaalselt ___klientide___ ___vajadusi___ ja söögikoha nõudmisi arvestav .	938	47
söögi_koht	NOUN	Gen	Sing	nõudmine	NOUN	Par	Plur	söögikoha nõudmisi	Arhitekt Madis Eeki poolt ehitatud värvilistest klaasidest hoone on kahekorruseline ja spetsiaalselt klientide vajadusi ja ___söögikoha___ ___nõudmisi___ arvestav .	938	5
inimene	NOUN	Gen	Plur	suitsetamis_harjumus	NOUN	Par	Plur	inimeste suitsetamisharjumusi	Et ventilatsiooni projekteerija võttis arvesse ___inimeste___ ___suitsetamisharjumusi___ , peaks siin olema ka puhtam õhk .	939	1323
klaas	NOUN	Par	Sing	õuna_maha	NOUN	Par	Sing	klaasi õunamahla	Palun kaks maasikakooki , kolm suurt võileiba ja kolm ___klaasi___ ___õunamahla___ .	945	21
pakk	NOUN	Gen	Sing	sigaret	NOUN	Par	Plur	paki sigarette	Rutt võtab kotist välja ___paki___ ___sigarette___ .	1097	18
matkaja	NOUN	Gen	Plur	abi	NOUN	Par	Sing	matkajate abi	Oli ka selliseid momente , kus vajasime teiste ___matkajate___ ___abi___ .	1181	6
loodus_kaitse	NOUN	Gen	Sing	seadus	NOUN	Par	Plur	looduskaitse seadusi	Punane raamat ei sisalda ___looduskaitse___ ___seadusi___ ega määrusi , see on teadusandmete kogu , mis kajastab liigi levikut ja seisukorda koos ettepanekutega selle kaitse vajaduse kohta .	1276	12
liik	NOUN	Gen	Sing	levik	NOUN	Par	Sing	liigi levikut	Punane raamat ei sisalda looduskaitse seadusi ega määrusi , see on teadusandmete kogu , mis kajastab ___liigi___ ___levikut___ ja seisukorda koos ettepanekutega selle kaitse vajaduse kohta .	1276	49
liik	NOUN	Gen	Plur	olu_kord	NOUN	Par	Sing	liikide olukorda	Loodusuurijad peavad pidevalt jälgima ohustatud ja haruldaste ___liikide___ ___olukorda___ ning kandma uued andmed raamatusse .	1278	49
inimene	NOUN	Gen	Sing	elu	NOUN	Par	Sing	inimese elu	Loodust , s.t taime- ja loomaliike tuleks hoida nii , nagu hoiame ___inimese___ ___elu___ .	1296	1323
ruut_meeter	NOUN	Par	Sing	maa	NOUN	Par	Sing	ruutmeetrit maad	Iga kaheksakümne krooni eest ostetud pilet võimaldab meil osta 50 ___ruutmeetrit___ ___maad___ .	1333	2
ise_loom	NOUN	Gen	Sing	varju_külk	NOUN	Par	Plur	iseloomu varjukülgi	Ta peab ennast mõnes mõttes ebatavaliseks ja see on üks tema ___iseloomu___ ___varjukülgi___ .	1386	50
liblikas	NOUN	Gen	Sing	lend	NOUN	Par	Sing	liblika lendu	Kes unistades armastab jälgida ___liblika___ ___lendu___ , kipub suuremat tähtsust omistama asjade ja inimeste välimusele kui sellele , mis on nende sisu või millest nad on tehtud .	1405	4
loodus	NOUN	Gen	Sing	ilu	NOUN	Par	Sing	looduse ilu	Suvepuhkuse veedan matkates , et nautida ___looduse___ ___ilu___ ja rahu .	1445	153
reis	NOUN	Nom	Sing	kroon	NOUN	Par	Sing	reis krooni	Ühepäevane ___reis___ 299 ___krooni___ , kahepäevane 399 krooni .	1476	109
loodus	NOUN	Gen	Sing	õppe_rada	NOUN	Par	Plur	looduse õpperadasid	Vooremaa maastikukaitsealal ( 1964 ) on hulgaliselt ___looduse___ ___õpperadasid___ , vanu mõisaparke ja kauneid koduaedu .	1497	153
liik	NOUN	Gen	Sing	puu	NOUN	Par	Plur	liigi puid	Loodussõpradele pakub aga kindlasti huvi Luua barokne mõisakompleks ja park koos dendropargiga , kus kasvab üle 800 ___liigi___ ___puid___ ja põõsaid mitmelt poolt maailmast .	1500	49
sajandi_vahetus	NOUN	Gen	Sing	kihelkonna_kool	NOUN	Par	Sing	sajandivahetuse kihelkonnakooli	Kirjanik Oskar Lutsu Paunvere-lugude kaudu kuulsaks saanud paik pakub vaatamiseks ___sajandivahetuse___ ___kihelkonnakooli___ ja vana apteegihoonet , kus valmistatav palsam on täiesti eriline , vaid sellele paigale omane .	1502	1
villa	NOUN	Gen	Sing	nimi	NOUN	Par	Sing	villa nime	Arossa turismitalu vääriks lausa ___villa___ ___nime___ .	1610	1
ilu_mets	NOUN	Gen	Sing	meteoriidi_kraater	NOUN	Par	Plur	ilumetsa meteoriidikraatreid	Käisime veel ___ilumetsa___ ___meteoriidikraatreid___ vaatamas .	1627	1
vana_linn	NOUN	Par	Sing	vaatamis_väärsus	NOUN	Par	Plur	vanalinna vaatamisväärsusi	Suviti on ülipopulaarsed lõbusõidud jõel , mille jooksul on võimalik näha imeilusat ___vanalinna___ ja tähtsamaid ___vaatamisväärsusi___ .	1647	26
takt	NOUN	Gen	Plur	kõlamine	NOUN	Par	Sing	taktide kõlamist	Pärast esimeste ___taktide___ ___kõlamist___ ei suutnud publik enam millelegi muule peale muusika mõeldagi .	1652	2
tsaari_pere	NOUN	Gen	Sing	suve_kodu	NOUN	Par	Sing	tsaaripere suvekodu	Kui juba Peterburi minna , tuleks külastada ka ___tsaaripere___ ___suvekodu___ .	1681	1
inimene	NOUN	Gen	Sing	kujutlus_võime	NOUN	Par	Sing	inimese kujutlusvõimet	Raadio kuulamine arendab ka ___inimese___ ___kujutlusvõimet___ .	1757	1323
linna	NOUN	Gen	Sing	uudistes	NOUN	Par	Sing	LINNA UUDISTES	Kuuluta ___LINNA___ ___UUDISTES___ teisipäevast reedeni !	1776	2
lugeja	NOUN	Gen	Sing	pilk	NOUN	Par	Sing	lugeja pilku	Kui te ei suuda hetkega ___lugeja___ ___pilku___ püüda , olete selleks korraks kaotanud järjekordse kliendi .	1784	35
enamik	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	Enamik inimesi	___Enamik___ ___inimesi___ armastas lapsena muinasjutte ning paljud ei julge tunnistada , et armastavad neid täiskasvanunagi .	1796	42
intervjueeri=mine	NOUN	Gen	Sing	reegel	NOUN	Par	Plur	intervjueerimise reegleid	Kas selles on järgitud ___intervjueerimise___ ___reegleid___ ?	1879	1
üles_ehitus	NOUN	Gen	Sing	reegel	NOUN	Par	Plur	ülesehituse reegleid	Kas on järgitud selle žanri ___ülesehituse___ ___reegleid___ ?	1916	6
arst	NOUN	Gen	Sing	pulss	NOUN	Par	Sing	arsti pulssi	Pressingu all töötamine tõstab ___arsti___ ___pulssi___ , rahu ja tasakaalu säilitamine läheb aina raskemaks , lüüakse käega , päeva teisest poolest lülitatakse autopiloot sisse .	1969	101
immuunsus	NOUN	Par	Sing	medikament	NOUN	Par	Plur	Immuunsust medikamente	___Immuunsust___ tugevdavaid ___medikamente___ on soovitav võtta hommikuti .	1987	2
hamba_arst	NOUN	Gen	Sing	uur	NOUN	Par	Sing	hambaarsti uurde	Minge ___hambaarsti___ j ___uurde___ .	2103	36
kooli_õpilane	NOUN	Gen	Plur	toitumis_harjumus	NOUN	Par	Plur	kooliõpilaste toitumisharjumusi	Liiga palju , liiga vähe , liiga kiiresti - iseloomustab kõige paremini ___kooliõpilaste___ ___toitumisharjumusi___ .	2129	11
toor_salat	NOUN	Gen	Plur	õli	NOUN	Par	Sing	toorsalatite õli	Selle korvamiseks on soovitatav lisada ___toorsalatite___ kastmetele ___õli___ või kasutada vitamiinide ja Omega-3 rasvhapetega rikastatud võileivamäärdeid .	2154	2
eestlane	NOUN	Gen	Sing	söömine	NOUN	Par	Sing	eestlase söömist	Arstid ei soovita eestlastele teise ___eestlase___ ___söömist___ , kolesteroolinäit võib siis oluliselt tõusta .	2201	119
minut	NOUN	Par	Sing	trenn	NOUN	Par	Sing	minutit trenni	Selleks , et vähendada kehakaalu või ennetada paksuksminemist , on kõige õigem tegeleda mõõduka füüsilise aktiivsusega - kolmel korral nädalas 20 ___minutit___ ___trenni___ .	2215	105
värvi_toon	NOUN	Gen	Plur	mõju	NOUN	Par	Sing	värvitoonide mõju	Sisearhitekt Pille Lausmäe soovitab magamistoa kujundada pehmetes mahedates toonides , kuna inimene tajub ___värvitoonide___ ___mõju___ ka alateadlikult .	2253	4
uni	NOUN	Gen	Sing	faas	NOUN	Par	Plur	une faase	Et tunneksid end hommikul väljapuhanuna , on olulisim une esimene pool , sest siis on kõige rohkem sügava ___une___ ___faase___ .	2260	90
minut	NOUN	Gen	Sing	möödumine	NOUN	Par	Sing	minuti möödumist	Enamasti jääme magama juba enne ___minuti___ ___möödumist___ ja hommikul ei mäleta , et oleksime olnud ärkvel .	2270	105
uni	NOUN	Gen	Sing	faas	NOUN	Par	Sing	une faasi	Tundlikud inimesed tajuvad kerge ___une___ ___faasi___ kahe lühikese ärkveloleku vahel kui unetust .	2272	90
uni	NOUN	Gen	Plur	tähendus	NOUN	Par	Sing	unede tähendust	Paljudes külades olid nõiad ehk teadjad , kes seletasid ___unede___ ___tähendust___ ning teadsid kõike , mis toimub selles ja teises ilmas .	2282	90
inimene	NOUN	Gen	Sing	olu_kord	NOUN	Par	Sing	inimese olukorda	Siiamaani püütakse ka ___inimese___ tervislikku ___olukorda___ ennustada nähtud une järgi .	2284	1323
dieet	NOUN	Gen	Sing	mõju	NOUN	Par	Sing	dieedi mõju	Unedefitsiit võib vähendada ___dieedi___ ___mõju___ , kiirendada vananemist ja viia immuunsüsteemi tasakaalust välja .	2294	10
inimene	NOUN	Gen	Sing	olu_kord	NOUN	Par	Sing	Inimese olukorda	___Inimese___ tervislikku ___olukorda___ püütakse ennustada nähtud unenäo järgi .	2307	1323
uni	NOUN	Gen	Plur	tähendus	NOUN	Par	Sing	unede tähendust	Paljudes külades elasid nõiad-teadjad , kes seletasid ___unede___ ___tähendust___ .	2312	90
enese_distsipliin	NOUN	Gen	Sing	puudumine	NOUN	Par	Sing	enesedistsipliini puudumist	Rool või pidurid ei tööta - ___enesedistsipliini___ ___puudumist___ , suutmatust kohustusi või teiste lootusi täita .	2317	1
seisu_koht	NOUN	Gen	Plur	muutumine	NOUN	Par	Sing	seisukohtade muutumist	Mahla joomine - ___seisukohtade___ ___muutumist___ kavala inimese sõnade läbi .	2328	20
pahandus	NOUN	Par	Sing	sõnum	NOUN	Par	Plur	pahandust sõnumeid	Mädanenud õunad - ___pahandust___ ja halbu ___sõnumeid___ .	2332	8
soov	NOUN	Gen	Plur	täitumine	NOUN	Par	Sing	soovide täitumist	Õunte söömine - armunutele ___soovide___ ___täitumist___ , abielurahvale häid sõnumeid .	2333	76
dialoog	NOUN	Gen	Sing	olemas_olu	NOUN	Par	Sing	dialoogi olemasolu	Naer on sotsiaalne fenomen - naer eeldab ___dialoogi___ ___olemasolu___ , homogeense grupi olemasolu .	2380	11
grupp	NOUN	Gen	Sing	olemas_olu	NOUN	Par	Sing	grupi olemasolu	Naer on sotsiaalne fenomen - naer eeldab dialoogi olemasolu , homogeense ___grupi___ ___olemasolu___ .	2380	22
naer	NOUN	Gen	Sing	kasulikkus	NOUN	Par	Sing	naeru kasulikkust	Stanfordi ülikooli naeruteadlased võrdlevad ___naeru___ ___kasulikkust___ lausa sörkjooksuga .	2390	27
keha	NOUN	Gen	Sing	lihas_toonus	NOUN	Par	Sing	keha lihastoonust	Tegelikult suurendab naeruhoog kogu ___keha___ ___lihastoonust___ .	2393	31
naeratu=s	NOUN	Gen	Sing	jõud	NOUN	Par	Sing	naeratuse jõudu	Ärge kunagi alahinnake ___naeratuse___ ja naeru ___jõudu___ !	2399	3
probleem	NOUN	Gen	Plur	tähtsus	NOUN	Par	Sing	probleemide tähtsust	Naermine vähendab ___probleemide___ ___tähtsust___ .	2450	151
hulk	NOUN	Nom	Sing	tähendus	NOUN	Par	Plur	hulk tähendusi	Eesti keeles on nii teenistusel kui ka talitusel ___hulk___ ___tähendusi___ : päevase töö palk on päevateenistus , sõjaväes olek - ajateenistus ; peetakse kombetalitusi ja kodus tehakse majatalitusi .	2454	45
aja_teenistus	NOUN	Gen	Sing	korraldus	NOUN	Par	Sing	ajateenistuse korraldust	Selleks tuleb ___ajateenistuse___ ___korraldust___ ja ülesehitust muuta .	2462	11
võidu_võimalus	NOUN	Gen	Plur	kaotamine	NOUN	Par	Sing	võiduvõimaluste kaotamist	Ka siis , kui see tähendab enda ___võiduvõimaluste___ ___kaotamist___ .	2562	1
hulga	NOUN	Gen	Sing	asi	NOUN	Par	Plur	Hulga asju	___Hulga___ suuri ___asju___ võib ära teha väikeste toetussummade või mõne muu abistava panusega .	2586	1
ette_võte	NOUN	Gen	Sing	juht	NOUN	Par	Plur	ettevõtte juhte	On vaja uusi andekaid tegijaid : noori , ___ettevõtte___ ___juhte___ ja eksperte , kellel on oma siht , omad mõtted , tahe ennast pühendada heategevusele .	2602	33
liiter	NOUN	Par	Sing	kütus	NOUN	Par	Sing	liitrit kütust	Uus 4 , 7-liitrine bensiinimootor ( 288 hj ) töömahuga 4461 cm3 kulutab keskmiselt 10 ___liitrit___ ___kütust___ 100 km kohta .	2649	6
maa_ilm	NOUN	Gen	Sing	auto	NOUN	Par	Sing	maailma autot	India autotootja Tata esitles eelmisel nädalal Delhi autonäitusel ___maailma___ odavaimat ___autot___ .	2659	223
auto	NOUN	Gen	Sing	esitlus	NOUN	Par	Sing	auto esitlust	Kerepaneelid on valmistatud lehtterasest , mitte plastist , nagu enne ___auto___ ___esitlust___ spekuleeriti .	2665	196
auto	NOUN	Gen	Sing	esitlemine	NOUN	Par	Sing	auto esitlemist	Kui enne ___auto___ ___esitlemist___ spekuleeris autoajakirjandus , et Tata võib Nanot õige pea ka Euroopas või vähemalt Hiinas müüma hakata , siis Delhi autonäitusel kinnitasid Tata juhid , et mingist ekspordist enne 2011. aastat isegi ei unistata .	2670	196
võimalus	NOUN	Gen	Plur	jõudmine	NOUN	Par	Sing	võimaluste jõudmist	Aastate jooksul on olukord siiski veidike muutunud ja publik näinud tehnoloogiast tulenevate ___võimaluste___ ___jõudmist___ ka klubidesse .	2715	198
süle_arvuti	NOUN	Gen	Sing	aku	NOUN	Par	Plur	sülearvuti akusid	Kõige rohkem võltsitakse MP3-mängijaid , mäluseadmeid , mängukonsoole ning mobiiltelefone , aga ka ___sülearvuti___ ___akusid___ ning kettaseadmeid , vahendas Tartu Ülikooli tehnoloogiaportaal Novaator .	2743	6
ekraan	NOUN	Gen	Sing	puudutamine	NOUN	Par	Sing	ekraani puudutamist	Pihuarvutikasutajad teavad , et puudutus tähendab ___ekraani___ ___puudutamist___ spetsiaalse pulgaga ehk stylus ' ega .	2776	56
ekraan	NOUN	Gen	Sing	täpsus	NOUN	Par	Sing	ekraani täpsust	Puutepulga eeliseks näpu ees on lisaks täpsusele ka puhtus - näpp on alati veidike määrdunud ja see rikuks ___ekraani___ ning puudutuste ___täpsust___ .	2778	56
giga_bait	NOUN	Par	Sing	mälu_maht	NOUN	Par	Sing	gigabaiti mälumahtu	Varsti peaks jõudma müügile W960 , millel on 8 ___gigabaiti___ ___mälumahtu___ muusika , video ja muude failide jaoks .	2795	2
video_kõne	NOUN	Gen	Plur	kvaliteet	NOUN	Par	Sing	videokõnede kvaliteeti	Skype’i ja Logitechi tutvustatud uus videostandard High Quality Video ( HQV ) parandab märgatavalt ___videokõnede___ senist ___kvaliteeti___ .	2806	3
unistus	NOUN	Gen	Sing	sõber	NOUN	Par	Sing	unistuse sõpra	Need , kelle arvutis töötab ühetuumaline protsessor , peavad ___unistuse___ ___sõpra___ selgelt ja suurelt oma arvutiekraanil näha maha matma .	2814	72
mobiil_telefon	NOUN	Gen	Sing	kasutus_võimalus	NOUN	Par	Plur	mobiiltelefoni kasutusvõimalusi	Milliseid ___mobiiltelefoni___ ___kasutusvõimalusi___ mainib artikli autor ?	2818	74
maa_ilm	NOUN	Gen	Sing	plasma_teler	NOUN	Par	Sing	maailma plasmatelerit	Tehnikamessil CES näidati Jaapani tehnikafirma Panasonic loodud ___maailma___ suurimat ___plasmatelerit___ , mille ekraanidiagonaal on 150 tolli .	2821	223
huviline	NOUN	Gen	Sing	ostu_tuhin	NOUN	Par	Sing	huvilise ostutuhinat	Hind - 3200 krooni - võib aga nii mõnegi ___huvilise___ ___ostutuhinat___ vähendada .	2827	9
kristall_klaar	NOUN	Gen	Sing	kuulmine	NOUN	Par	Sing	kristallklaari kuulmist	Enne ___kristallklaari___ heli ___kuulmist___ püüab kasutaja tähelepanu aga unikaalse lahendusega klahvistik .	2839	1
heli	NOUN	Gen	Sing	kuulmine	NOUN	Par	Sing	heli kuulmist	Enne kristallklaari ___heli___ ___kuulmist___ püüab kasutaja tähelepanu aga unikaalse lahendusega klahvistik .	2839	6
kasutaja	NOUN	Nom	Sing	tähele_panu	NOUN	Par	Sing	kasutaja tähelepanu	Enne kristallklaari heli kuulmist püüab ___kasutaja___ ___tähelepanu___ aga unikaalse lahendusega klahvistik .	2839	7
president	NOUN	Gen	Sing	suhtlemine	NOUN	Par	Sing	presidendi suhtlemist	Kantselei korraldab ___presidendi___ riigisisest ja - välist ___suhtlemist___ , juhib infovahetust meedia , avalikkuse ja teiste partneritega , valmistab ette õigusakte , haldab presidendi haldusalasse kuuluvat riigivara ning täidab teisi ülesandeid .	2897	48
valitsus_asutus	NOUN	Gen	Plur	tegevus	NOUN	Par	Sing	valitsusasutuste tegevust	Põhiseaduse kohaselt suunab ja koordineerib Eesti Vabariigi valitsus ___valitsusasutuste___ ___tegevust___ .	2910	2
riigi_võim	NOUN	Gen	Sing	volitus	NOUN	Par	Plur	riigivõimu volitusi	Valitsusasutused on ministeeriumid , riigikantselei ja maavalitsused , samuti ametid ja inspektsioonid ning nende kohalikud täidesaatva ___riigivõimu___ ___volitusi___ omavad asutused .	2911	1
kantselei	NOUN	Gen	Sing	töö	NOUN	Par	Sing	kantselei tööd	Kes juhib Riigikogu ___kantselei___ ___tööd___ ?	2920	5
kroon	NOUN	Gen	Sing	maine	NOUN	Par	Sing	krooni mainet	Esiteks oleks see kahjustanud alles hiljuti kasutusele võetud ___krooni___ ___mainet___ rahva silmis .	2943	86
aasta	NOUN	Gen	Sing	majandus_kriis	NOUN	Par	Sing	aasta majanduskriisi	Pärast 1929. - 1933. ___aasta___ ___majanduskriisi___ hakati järjekindlalt suurendama kulla osatähtsust krooni kattevaras .	2945	906
kuld	NOUN	Gen	Sing	osa_tähtsus	NOUN	Par	Sing	kulla osatähtsust	Pärast 1929. - 1933. aasta majanduskriisi hakati järjekindlalt suurendama ___kulla___ ___osatähtsust___ krooni kattevaras .	2945	15
viitamine	NOUN	Gen	Sing	süsteem	NOUN	Par	Sing	viitamise süsteemi	Viitamisel on omad kindlad reeglid , mis moodustavad ___viitamise___ ___süsteemi___ .	2967	6
autor	NOUN	Gen	Plur	mõte	NOUN	Par	Plur	autorite mõtteid	Teiste ___autorite___ ___mõtteid___ võib esitada refereerides või tsiteerides .	2971	63
majandus	NOUN	Gen	Sing	pistmine	NOUN	Par	Sing	majanduse pistmist	Viiskümmend aastat kuulus Eesti majandusruumi , millel oli muu maailma ___majanduse___ ning turureeglitega vähe ___pistmist___ .	2977	32
laen	NOUN	Gen	Sing	jagamine	NOUN	Par	Sing	Laenu jagamist	___Laenu___ ___jagamist___ finantseerisid mitmed suurpangad , ostes tuhandeid selliste laenudega seotud kõrge riskiga võlakirju .	2992	42
pank	NOUN	Gen	Plur	oma_kapital	NOUN	Par	Sing	pankade omakapitali	Need kahjumid vähendavad ___pankade___ ___omakapitali___ .	2994	51
maa_ilm	NOUN	Gen	Sing	pangandus_turg	NOUN	Par	Sing	maailma pangandusturgu	See aga mõjutab kogu ___maailma___ ___pangandusturgu___ : väiksem laenupakkumine tõstab laenu hinda ehk intressi .	2997	223
laen	NOUN	Gen	Sing	hind	NOUN	Par	Sing	laenu hinda	See aga mõjutab kogu maailma pangandusturgu : väiksem laenupakkumine tõstab ___laenu___ ___hinda___ ehk intressi .	2997	42
toode	NOUN	Gen	Sing	hind	NOUN	Par	Sing	toote hinda	Lisaks sellele , et bensiinijaamades võib näha üha kõrgemaid kütusehindu , mõjutab nafta hinnatõus peaaegu iga ___toote___ ___hinda___ .	3001	29
arvamus_lugu	NOUN	Gen	Sing	mõte	NOUN	Par	Plur	arvamusloo mõtteid	Milliseid ___arvamusloo___ ___mõtteid___ peate kõige olulisemaks ?	3010	4
laen	NOUN	Gen	Sing	tagasi_makse_võimalus	NOUN	Par	Plur	laenu tagasimaksevõimalusi	Töökoha kaotus , palga vähenemine ning väljaminekute ootamatu suurenemine mõjutavad kohe ___laenu___ ___tagasimaksevõimalusi___ .	3030	42
pank	NOUN	Gen	Plur	tingimus	NOUN	Par	Plur	pankade tingimusi	Ühtpidi on kritiseeritud ___pankade___ jäiku ___tingimusi___ laenu tagatise ja sissetulekute taseme osas , kuid järjest enam on mainitud ka pankade liiga liberaalset laenude väljastamise poliitikat .	3032	51
väljastamine	NOUN	Gen	Sing	poliitika	NOUN	Par	Sing	väljastamise poliitikat	Ühtpidi on kritiseeritud pankade jäiku tingimusi laenu tagatise ja sissetulekute taseme osas , kuid järjest enam on mainitud ka pankade liiga liberaalset laenude ___väljastamise___ ___poliitikat___ .	3032	2
