id,verb,verb_compound,verb_feats,verb_is_aux,verb_deprel,sup_verb,sup_verb_feats,sup_verb_deprel,sentence,sentence_id
188,tegema,,"ps,ill,mod,sup",1,root,sõitma,"ps,ill,sup,main",conj,“ Miini ” märkamisel pidi robot ___tegema___ 90 ° pöörde ja ___sõitma___ vastu “ miini ” .,196980
211,õppima,,"af,pl,ps,aux,ps1,pres,indic",0,root,mõistma,"ps,aux,ill,sup",xcomp,"Võib-olla ___õpime___ isegi üksteist ___mõistma___ , võib-olla koguni õpetama üksteisele veel enam inimlikkust .",197972
212,õppima,,"af,pl,ps,aux,ps1,pres,indic",0,root,õpetama,"ps,ill,sup,main",conj,"Võib-olla ___õpime___ isegi üksteist mõistma , võib-olla koguni ___õpetama___ üksteisele veel enam inimlikkust .",197972
217,kippuma,,"af,ps,sg,aux,ps3,pres,indic",0,root,jääma,"ps,aux,ill,sup",xcomp,"arvutiga seonduv ___kipub___ koolis ___jääma___ informaatikaõpetaja kui ainespetsialisti “ valitsemisalaks ” , Hawkridge'i poolt kirjeldatud IT sotsiaalne , pedagoogiline ja katalüütiline efekt jääb minimaalseks ;",198142
218,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,olema,"ps,ill,mod,sup",xcomp,"õpitav ___kipub___ suures osas ___olema___ küllatki abstraktne ja kontekstivaba , mistõttu seda on igapäevases elus raske rakendada ja see ununeb ruttu",198143
219,kippuma,,"af,pl,ps,ps3,main,pres,indic",0,root,domineerima,"ps,aux,ill,sup",xcomp,Kooli tasandil õpetuse eesmärke määratledes ___kipuvad___ aga koheselt praktikas rakendatavad oskused ___domineerima___ “ teooria ” üle .,198148
220,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,erinema,"ps,aux,ill,sup",xcomp,informaatikaõpetuse sisu ___kipub___ kooliti üha rohkem ___erinema___,198161
221,sattuma,,"af,pl,ps,ps3,main,pres,indic",0,root,õppima,"ps,ill,mod,sup",xcomp,"ülikooli ___satuvad___ informaatikat ___õppima___ noored , kel puudub ettekujutus sellest teadusdistsipliinist ja kes peavad alustama erialastuudiumi peaaegu “ nullist ” .",198162
248,juhtuma,,"inf,main",1,root,olema,"ps,aux,ill,sup",conj,"Ka parima riistvaraga võib midagi ___juhtuda___ , seega peab ___olema___ ka tarkvaras toetatud rida protokolle ja / või nende omadusi , mis tagavad kasutajate häirimatu töö .",199335
250,valmistuma,,"af,ps,sg,aux,ps3,pres,indic",0,root,vähendama,"ps,ill,sup,main",xcomp,Eesti ___valmistub___ ___vähendama___ infotehnoloogiaseadmete tollitariife,199454
263,õppima,,"aux,inf",0,xcomp,tundma,"ps,ill,sup,main",xcomp,"Induktiivse õppimise näitena võiks tuua kasutajaliidese , mis üritab konkreetse kasutaja harjumusi ___tundma___ ___õppida___ ning nendega kohaneda .",199776
268,tahtma,,"af,pl,ps,mod,ps1,pres,indic",0,root,jääma,"ps,ill,sup,main",advcl,"me ___tahame___ kodeerimisel kasutada vähekvalifitseeritud tööjõudu , sest soldati-ohvitseri vahekord peab püsima ___jääma___ .",199931
270,saama,,"af,ps,sg,aux,ps2,cond,pres",0,advcl,hakkama,"ps,aux,ill,sup",xcomp,"Ehk pisut teisiti : on vaja teada , kuidas kavandada tarkvara nii , et kavandist lähtuva kodeerimisega ___saaksid___ ___hakkama___ suhteliselt madala tasemega programmeerijad ( programmeerimissoldatid ) .",199933
274,harjuma,,"ps,neg,impf,main,indic",1,root,usaldama,"ps,aux,ill,sup",xcomp,Nad on ___harjunud___ ___usaldama___ kriitikuid ning tuntud lavastaja- ja näitlejanimesid .,200227
280,sobima,,"ps,ill,sup,main",1,root,vältima,"ps,aux,ill,sup",conj,"Hiljem saabuvad ja uued töövahendid peavad ___sobima___ olemasolevatega ja ___vältima___ üht lihtsat küsimust : mis juhtub patsiendi tervise eest hoolitsemisega , kui arst peab oma ressursse ( aeg , oskused jmt . ) kasutama uue töövahendiga jändamisele ?",200384
281,juhtuma,,"af,ps,sg,mod,ps3,pres,indic",0,parataxis,kasutama,"ps,ill,sup,main",advcl,"Hiljem saabuvad ja uued töövahendid peavad sobima olemasolevatega ja vältima üht lihtsat küsimust : mis ___juhtub___ patsiendi tervise eest hoolitsemisega , kui arst peab oma ressursse ( aeg , oskused jmt . ) ___kasutama___ uue töövahendiga jändamisele ?",200384
306,nõustuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,minema,"ps,ill,sup,main",xcomp,Rühma liige ___nõustub___ paari ___minema___ vaid vastasrühma aktsepteeritava liikmega .,201219
310,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,conj,valetama,"ps,ill,mod,sup",xcomp,"Bob võib ajaviiteks kõik neli lahendit leida ja Alice'i telefonivastuse saamisel kohe öelda , kas Alice räägib tõtt või ___kipub___ ___valetama___ .",201558
323,tegema,,"ps,ill,sup,main",1,root,ületama,"ps,aux,ill,sup",conj,Näitleja peab teksti omaks ___tegema___ ning seejuures ___ületama___ konflikti kirjaliku ja suulise kõne vahel .,202018
325,kalduma,,"af,aux,imps,pres,indic",0,root,asendama,"ps,ill,sup,main",xcomp,"Laval ___kaldutakse___ ___asendama___ “ ebamugavaid ” sõnu , muutma algupärast sõnajärjestust , lihtsustama lauseehitust .",202020
330,kalduma,,"af,pl,ps,ps3,main,pres,indic",0,conj,muutuma,"ps,ill,mod,sup",xcomp,"Kontakt dialoogipartnerite vahel nõrgeneb , repliigid ___kalduvad___ ___muutuma___ monoloogiliseks eneseväljenduseks .",202112
343,tegema,,"af,ps,sg,ps2,main,pres,imper",1,conj,kuulma,"ps,ill,mod,sup",xcomp,"näitlejale mõeldud remargid , mis on abiks rollitäitmisel ( näiteks “ Inna närviline õlaliigutus ” , “ pilapidulikult ” , “ ei ___tee___ ___kuulmagi___ ” , “ osutab perfokaartide kastile ” - E. Vetemaa “ Nukumängu ” I vaatus ) ;",202382
358,kippuma,,"af,pl,ps,ps3,main,pres,indic",0,conj,ähmastuma,"ps,aux,ill,sup",xcomp,"Semantiliste ( enamasti väärtus- ) opositsioonide puhul saab konfliktist rääkida teatava tinglikkusega , mõiste piirid ___kipuvad___ ___ähmastuma___ .",203110
360,saama,,"ps,aux,neg,cond,pres",0,acl:relcl,võitlema,"ps,ill,mod,sup",conj,"Pole personifitseeritud kurjust , kaovad süüdlased , kelle vastu ___saaks___ ja peaks ___võitlema___ , süžeelised kokkupõrked toimuvad otsekui möödaminnes ega riiva põhilisi vastuolusid .",203156
370,sobima,,"af,ps,sg,mod,ps2,pres,imper",1,conj,motiveerima,"ps,aux,ill,sup",xcomp,"Lava tarvis tuleb üleminekud ühelt ajatasandilt teisele tähistada , et vaataja ei kaotaks käest süžee juhtlõnga , samuti ei ___sobi___ jutustaja suva ___motiveerima___ mineviku ja oleviku segipaiskamist .",203512
372,kalduma,,"af,ps,sg,ps3,main,pres,indic",0,root,metaforiseeruma,"ps,aux,ill,sup",xcomp,"Niisuguse ajakäsituse korral ___kaldub___ näidend ___metaforiseeruma___ , muutudes olemisseisundi võrdpildiks .",203599
373,valmistuma,,"af,mod,imps,pres,indic",0,conj,põgenema,"ps,ill,mod,sup",xcomp,"3. vaatuses on jutuks Vene vägede lähenemine , ___valmistutakse___ paadiga üle mere ___põgenema___ .",203647
402,pürgima,,"af,ps,sg,aux,ps3,pres,indic",0,acl:relcl,tegema,"ps,aux,ill,sup",xcomp,"Naissoost isikut , kes ___pürgib___ politseitööd ___tegema___ peetakse normist kõrvale kalduvaks ning tavatuks politsei personali hulgas .",204376
409,kalduma,,"af,aux,impf,imps,indic",0,conj,süüdistama,"ps,ill,mod,sup",xcomp,"Uuringu tulemusena ja minule , kui kriminaalhooldusametnikule , suureks üllatuseks selgus , et respondendid ei tunnista enda süüd toimepandud kuriteos ja kõige enam ___kalduti___ ___süüdistama___ kannatanut ennast .",204731
414,kalduma,,"af,ps,sg,ps1,main,pres,indic",0,root,arvama,"ps,ill,sup,main",xcomp,"___Kaldun___ ___arvama___ , et teaduslike saavutuste kaal jääb alla positsiooni kaalule ja seda paljudes Euroopa Liidu riikides .",204814
421,kippuma,,"af,pl,ps,mod,ps3,pres,indic",0,root,toimuma,"ps,ill,sup,main",xcomp,Vastasel juhul ___kipuvad___ tulevased Euroopa liidu reformid ___toimuma___ ilma meie kaaluka osaluseta .,204861
429,saama,,"af,ps,sg,ps3,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Tähelepanu võitmisega ___sai___ Mamma Mia kenasti ___hakkama___ .,205027
437,õppima,,"af,pl,ps,aux,ps1,pres,indic",0,advcl,tundma,"ps,aux,ill,sup",xcomp,"Lisaks praktilisematele järeldustele , et geograafide ja planeerijate töös vajalike andmete hulk ja täpsus suureneb , nende kogumine odavneb ja lihtsustub , on üheks SPM-i analüüsi tulemuseks ka seisukoht , et “ Ühiskonna juhtimine muutub lihtsamaks , sest ___õpime___ ___tundma___ linimeste arvamusi ja harjumusi ” ( Ahas jt 2004 : 521 ) ( arvan küll , et arvamusi nii lihtsalt tundma ei õpi ) .",205172
438,õppima,,"ps,aux,neg,pres,indic",1,ccomp,tundma,"ps,ill,sup,main",xcomp,"Lisaks praktilisematele järeldustele , et geograafide ja planeerijate töös vajalike andmete hulk ja täpsus suureneb , nende kogumine odavneb ja lihtsustub , on üheks SPM-i analüüsi tulemuseks ka seisukoht , et “ Ühiskonna juhtimine muutub lihtsamaks , sest õpime tundma linimeste arvamusi ja harjumusi ” ( Ahas jt 2004 : 521 ) ( arvan küll , et arvamusi nii lihtsalt ___tundma___ ei ___õpi___ ) .",205172
442,nõustuma,,"af,pl,ps,mod,ps3,pres,indic",0,conj,ohverdama,"ps,ill,mod,sup",xcomp,"Õigusloome kvaliteedi indikaator ei ole üksnes see , et pärast pole seadust tarvis alatasa parandada vaid ka see , et inimesed saavad aru , miks neile tundub või miks ka objektiivselt nende huvidega uus seadus vastuolus on , kuid ___nõustuvad___ siiski teatavate ühiskondlike huvide tõttu oma huve ___ohverdama___ .",205245
444,saama,,"af,pl,ps,aux,ps3,pres,indic",0,conj,hakkama,"ps,ill,sup,main",xcomp,"Samas võivad sotsiaaltöötaja huvid ja kliendi huvid teatud aspektides vastuollu sattuda ( nt on sotsiaaltöötaja alati huvitatud oma ametikoha säilimisest - vaga raske on leida sotsiaaltöötajat , kes ütleks , et tal ei ole piisavalt tööd või et tema hea töö tulemusena ___saavad___ varsti kõik tema kliendid iseseisvalt ___hakkama___ ) ning sellisel juhul on väga raske eeldada sotsiaaltöötajalt , et ta kliendi huve seadusloome protsessis",205270
445,saama,,"aux,inf",0,conj,hakkama,"ps,ill,mod,sup",xcomp,Nende klientidega edasi töötades me valjendame usku nende võimesse oma elu üle ühel päeval ise otsustada ja senisest paremini oma eluga ___hakkama___ ___saada___ .,205301
450,saama,,"inf,main",0,xcomp,hakkama,"ps,aux,ill,sup",xcomp,See võimaldab ekstravertsel ja sotsiaalsetel inimesel paremini ___hakkama___ ___saada___ .,205466
473,õppima,,"af,pl,ps,mod,ps1,pres,indic",0,advcl,lugema,"ps,ill,mod,sup",xcomp,"Meedia on kasulik , kuna ___õpime___ lehti ja ajakirju ___lugema___ teise pilguga ... ” ; “ Minu meelest on meedia huvitav , kasulik ja eluks vajalik element . ” ; “ Meedia tundub tegelikult väga huvitav , kuid samas raskesti arusaadav .",205961
476,õppima,,"af,pl,ps,mod,ps1,pres,indic",0,advcl,kasutama,"ps,aux,ill,sup",xcomp,"Samuti võiks arvutikujundust rohkem olla , sest seal ___õpime___ arvutit ___kasutama___ ja õpime ka lehekujundust .",206015
494,õppima,,"aux,inf",0,ccomp,elama,"ps,ill,mod,sup",xcomp,"Ka on tänapäeval mõistetud , et meedia on tõepoolest valdkond , mis väga olulisel määral sekkub meie igapäevaellu , tahame me seda või mitte , ning meie ainus pääsetee on ___õppida___ meediaga koos ___elama___ , mitte teda põlastama ega ignoreerima .",206282
498,harjuma,,"ps,aux,past,partic",1,acl:relcl,pidama,"ps,aux,ill,sup",xcomp,"Teiseks valitses neis sööklates tavaliselt õhkkond , mis erines tunduvalt sellest , mida mina olin ___harjunud___ söömis- ja sööklakultuuriks ___pidama___ .",206364
502,õppima,,"af,mod,imps,pres,indic",0,conj,muutma,"ps,ill,sup,main",xcomp,"Töökohal ja igapäevastes tegevustes toimuvas "" tegevuse kaudu õppimises "" võetakse teadmised omaks või ___õpitakse___ neid ___muutma___ ja kohandama .",206519
505,õppima,,"af,pl,ps,aux,ps3,pres,indic",0,conj,mõistma,"ps,ill,mod,sup",xcomp,"Kõik projektis osalejad on võrdses situatsioonis ja ___õpivad___ seeläbi enam ___mõistma___ ennast , oma ametialast pädevust ja teineteist .",206558
506,õppima,,"af,aux,imps,pres,indic",0,conj,toetama,"ps,ill,mod,sup",xcomp,"Multikultuurilises töökeskkonnas võidakse tunda ka ebaturvalisust , kuid seegi on kõigil projektis osalejatel sama ning seeläbi ___õpitakse___ enam teineteist ___toetama___ ja probleeme üheskoos lahendama ( Puustinen-Niemelä & Leppiman 2004 ) .",206559
509,saama,,"af,ps,sg,mod,ps1,pres,indic",0,ccomp,hakkama,"ps,ill,mod,sup",xcomp,"Avastati , et ___saan___ ___hakkama___ , olen vajalik .",206585
513,õppima,,"inf,main",0,xcomp,tundma,"ps,aux,ill,sup",xcomp,See võimaldas kõige rohkem ___tundma___ ___õppida___ iseennast ja ennast taasavastada .,206595
515,õppima,,"ps,ill,sup,main",0,xcomp,katsetama,"ps,ill,sup,main",conj,"Märkasin , et üliõpilased otsisid nii enda kui ka perede tugevaid külgi , julgustasid neid ___õppima___ ja ___katsetama___ uut ning senitundmatut .",206599
516,õppima,,"inf,mod",0,conj,märkama,"ps,ill,mod,sup",xcomp,"Keelebarjääri ületamine oli võimalus kindlustada oma toimetulekut võõras kultuuris , ___õppida___ ___märkama___ hoiakuid ja eelarvamusi .",206627
517,õppima,,"af,ps,sg,ps1,impf,main,indic",0,root,lugema,"ps,ill,sup,main",xcomp,Aga laagri jooksul ma ___õppisin___ ___lugema___ kätelt !,206635
518,õppima,,"af,pl,ps,aux,ps1,impf,indic",0,root,sööma,"ps,ill,mod,sup",xcomp,___Õppisime___ ka ise teistsuguseid toite ___sööma___ ja neid valmistama teistsugustes tingimustes .,206638
520,õppima,,"af,pl,ps,ps1,main,pres,indic",0,root,tundma,"ps,ill,mod,sup",xcomp,"___Õpime___ ___tundma___ erinevaid elumudeleid , kultuurikonteksti ja töömeetodeid , mõistma heaoluühiskonna probleeme , mis peegelduvad sotsiaaltöös kõrvuti vaesusega .",206646
522,õppima,,"af,ps,sg,aux,ps3,pres,indic",0,conj,hindama,"ps,ill,mod,sup",xcomp,"Teistsuguse kultuuriga tutvumine avardab , selle kaudu ___õpib___ ___hindama___ ka oma kultuuri eripära ja tavasid ( S 17 , 1999 ) .",206647
533,õppima,,"ps,aux,past,partic",1,root,töötama,"ps,ill,mod,sup",conj,Tsaariajal oli noor Noho ___õppinud___ misjonäride juures ega saanud kuidagi oma teadmisi rakendada ja pidi ___töötama___ ühe vene kaupmehe heaks .,207273
540,kalduma,,"af,ps,sg,ps3,main,pres,indic",0,conj,manipuleerima,"ps,ill,mod,sup",xcomp,"Tematiseeritakse ka seda , kas poliitika on naise jaoks sobiv valdkond , seejuures ___kaldub___ meedia ___manipuleerima___ faktiga , mille toob välja Randall ( 1987 : 124 ) : naised kardavad enam sattuda sotsiaalsesse ebasoosingusse , mis poliitikas on tavaline nähtus .",207462
541,saama,,"ps,aux,past,partic",1,conj,hakkama,"ps,ill,sup,main",xcomp,"Enamasti siis , kui on toimunud midagi erakordset või skandaalset , näiteks kui naine on teinud katse meespoliitikutest kolleege mingil moel edastada - seega teinud poliitikas midagi “ enneolematut ” , või on , vastupidi , ___saanud___ ___hakkama___ mõne naeruväärse fopaaga .",207466
546,kalduma,,"af,ps,sg,mod,ps3,pres,indic",0,root,eristama,"ps,aux,ill,sup",xcomp,"Meedia ___kaldub___ küsimusi formuleerides naisi ja mehi mustvalgelt ___eristama___ , Franklin ( 1989 ) viitab sellele , et naised ebaõnnestuvad võimu saavutamisel oma iseloomujoonte , väärtushinnangute ja käitumise tõttu .",207492
547,kippuma,,"af,ps,sg,ps3,main,pres,indic",0,conj,seadma,"ps,ill,mod,sup",xcomp,"Meedia võimendab meelsasti avalikus elus mõjukate naiste konflikte ning ___kipub___ kahtluse alla ___seadma___ naispoliitikute professionaalset kompetentsi , demonstreerides neid sõltuvate , ebaküpsete ja passiivsetena .",207501
548,kalduma,,"af,ps,sg,ps3,main,pres,indic",0,conj,võimendama,"ps,ill,sup,main",xcomp,"Meedia pole kuigi salliv selles suhtes , kui naine on kaldunud kõrvale naiselikust rollist olla ema ning seetõttu ___kaldub___ ___võimendama___ karjääri ning emarolli konflikti .",207533
549,kalduma,,"af,ps,sg,ps3,main,pres,indic",0,root,näitama,"ps,ill,mod,sup",conj,"Meedia ___kaldub___ teemasid intimiseerima , ___näitama___ naistest avaliku elu tegelasi privaatsfääris , seda näitab kodudiskursuse maht ning diskursiivsete repertuaaride mitmekesisus .",207591
550,saama,,"af,ps,sg,ps3,main,pres,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Nüüd ___saab___ söögitegemisega juba ___hakkama___ .,207602
553,kalduma,,"af,ps,sg,aux,ps3,pres,indic",0,root,vastandama,"ps,ill,mod,sup",xcomp,Meedia ___kaldub___ varasemat karjääri ___vastandama___ praegusele poliitilisele tegevusele ning rõhutama nende erinevust .,207659
555,kalduma,,"af,pl,ps,aux,ps3,pres,indic",0,conj,põgenema,"ps,ill,sup,main",xcomp,"Naisteajakiri pole realistik , nagu kirjutab Pilvre ( 2002 : 168 ) , nad ___kalduvad___ ___põgenema___ reaalsusest ning looma oma teemakäsitlustega hoopis teist maailma - kujutluse- ja muinasjutumaailma .",207702
557,kalduma,,"af,ps,sg,mod,ps3,pres,indic",0,root,taastootma,"ps,aux,ill,sup",xcomp,"Meedia ___kaldub___ ___taastootma___ naispoliitikuid kajastavates lugudes valdavaks saanud ja kokkuleppelisi arusaamu ühiskonnast ja soorollidest , naispoliitikuid peetakse pigem eranditeks ning valdavalt representeeritakse neid isiksuse ja privaatsfääri kui sotsiaalse rolli ning professionaalse kompetentsi kaudu .",207712
558,kalduma,,"af,aux,impf,imps,indic",0,root,reprodutseerima,"ps,ill,sup,main",xcomp,"Portreelugudes ___kalduti___ ___reprodutseerima___ üht peamist naisi puudutavat stereotüüpi , s.o tihedat sidet privaatsfääriga .",207728
559,kippuma,,"neg,imps,main,pres,indic",1,conj,kirjutama,"ps,ill,sup,main",xcomp,"Naispoliitikud on haritud ning enamasti on nende erialaks traditsiooniliselt meeste alaks peetavas valdkond - juura ja füüsika , kuid nende haridusest ja teadussaavutustest ei ___kiputa___ ajakirjanduses kuigi pikalt ___kirjutama___ , sest see läheb konflikti traditsioonilise naiselikkuse ideaaliga .",207736
564,kalduma,,"af,ps,sg,mod,ps3,pres,indic",0,root,nõustuma,"ps,ill,sup,main",xcomp,"Siinkohal ___kaldub___ autor ___nõustuma___ pigem Kirkman , Mathieu'ga ( 2004 ) , kes väidab , et füüsiline kaugus iseenesest pole veel sama , mis virtuaalsus .",207788
568,saama,,"ps,aux,ill,sup",1,parataxis,hakkama,"ps,ill,sup,main",xcomp,Peamised küsimused millega juhil tuleb vastavalt antud mudelile kokku puutuda ( sobiva juhtimisstiili valikuks ) on : millise ülesandega peavad alluvad ___hakkama___ ___saama___ ?,207862
569,kalduma,,"af,pl,ps,ps3,main,pres,indic",0,advcl,tundma,"ps,aux,ill,sup",xcomp,"Kui kasutada on ainult madala rikkuse astmega IKT vahendid , siis peaks virtuaalmeeskonna juht vaikimisi eeldama meeskonnaliikmete vajadust suhetekeskseteks juhtimisstiilideks ( selgitav , osalev ) , kuna virtuaalmeeskondade töö eripärast tulenevalt ___kalduvad___ inimesed ennast isoleerituna ___tundma___ teistest meeskonnaliikmeist ja vajavad pigem nn. inimliku kontakti , kui tööalaseid nõuandeid ( vt. Joonis 2 ) .",207879
589,arvama,,"af,ps,sg,ps3,main,pres,indic",0,root,erinema,"ps,ill,mod,sup",ccomp,"2 / 3 respondentidest ___arvab___ , et nende lapsed peavad neist ___erinema___ , siiski väidab iga teine respondent , et nende lapsed peavad otsima uusi käitumismudeleid , kuid mitte unustama ka oma esivanemate tavasid .",208293
616,saama,,"ps,main,past,partic",1,acl:relcl,tegema,"ps,aux,ill,sup",advcl,"Õpetaja küsib kogu klassilt , kes ei ___saanud___ aru , mida peab ___tegema___ .",208907
628,saama,,"af,ps,sg,aux,ps3,pres,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Kuidas ema sinuga küll ___hakkama___ ___saab___ ?,208973
634,tegema,,"ps,sg,aux,neg,ps2,pres,imper",1,conj,märkama,"ps,aux,ill,sup",xcomp,"Näiteks õpilane ütleb õpetaja korraldusele vastu kohe midagi “ lubamatut ” , mis toob kaasa õpetajapoolse uue ja juba teravamas vormis korralduse ; või õpilane võtab korralduse justkui teadmiseks - kummardub raamatu kohale või avab vihiku , kuid tegelikult korraldust ei täida - ei hakka lugema või kirjutama , mida õpetaja aga sageli viimase vastupanu strateegia puhul ei märka , või ei ___tee___ ___märkama___ , kuna tema autoriteet õpetajana pole sel juhul ohustatud teiste klassis viibivate õpilaste silmis .",209022
